,d,t,n,s,ds,c_spcg,z,h_beam,h_clip,d_end
0,0.625,1.5,2,2.5,True,1.0,870.9850527464729,7.5,5.5,1.25
1,0.625,1.5,2,2.5,False,1.0,603.2634396501807,7.5,5.5,1.25
2,0.625,1.5,2,3.0,True,1.0,870.9850527464729,8.0,6.0,1.25
3,0.625,1.5,2,3.0,False,1.0,603.2634396501807,8.0,6.0,1.25
4,0.625,1.5,2,4.0,True,1.0,870.9850527464729,9.0,7.0,1.25
5,0.625,1.5,2,4.0,False,1.0,603.2634396501807,9.0,7.0,1.25
6,0.625,1.5,3,2.5,True,1.0,1306.4775791197094,10.0,8.0,1.25
7,0.625,1.5,3,2.5,False,1.0,904.8951594752709,10.0,8.0,1.25
8,0.625,1.5,3,3.0,True,1.0,1306.4775791197094,11.0,9.0,1.25
9,0.625,1.5,3,3.0,False,1.0,904.8951594752709,11.0,9.0,1.25
10,0.625,1.5,3,4.0,True,1.0,1306.4775791197094,13.0,11.0,1.25
11,0.625,1.5,3,4.0,False,1.0,904.8951594752709,13.0,11.0,1.25
12,0.625,1.5,4,2.5,True,1.0,1741.9701054929458,12.5,10.5,1.25
13,0.625,1.5,4,2.5,False,1.0,1206.5268793003613,12.5,10.5,1.25
14,0.625,1.5,4,3.0,True,1.0,1741.9701054929458,14.0,12.0,1.25
15,0.625,1.5,4,3.0,False,1.0,1206.5268793003613,14.0,12.0,1.25
16,0.625,1.5,4,4.0,True,1.0,1741.9701054929458,17.0,15.0,1.25
17,0.625,1.5,4,4.0,False,1.0,1206.5268793003613,17.0,15.0,1.25
18,0.625,1.5,5,2.5,True,1.0,2177.462631866182,15.0,13.0,1.25
19,0.625,1.5,5,2.5,False,1.0,1508.1585991254517,15.0,13.0,1.25
20,0.625,1.5,5,3.0,True,1.0,2177.462631866182,17.0,15.0,1.25
21,0.625,1.5,5,3.0,False,1.0,1508.1585991254517,17.0,15.0,1.25
22,0.625,1.5,5,4.0,True,1.0,2177.462631866182,21.0,19.0,1.25
