NAME,TYPE,D,DR,FYB,FU,FY
1/4 MB,A307,0.250,0.189,45000.0,58000.0,36000.0
5/16 MB,A307,0.3125,0.245,45000.0,58000.0,36000.0
3/8 MB,A307,0.375,0.298,45000.0,58000.0,36000.0
1/2 MB,A307,0.500,0.406,45000.0,58000.0,36000.0
5/8 MB,A307,0.625,0.514,45000.0,58000.0,36000.0
3/4 MB,A307,0.750,0.627,45000.0,58000.0,36000.0
7/8 MB,A307,0.875,0.739,45000.0,58000.0,36000.0
1-0 MB,A307,1.000,0.847,45000.0,58000.0,36000.0
1/2 A325,A325,0.500,0.417,150000.0,120000.0,
5/8 A325,A325,0.625,0.527,150000.0,120000.0,
3/4 A325,A325,0.750,0.642,150000.0,120000.0,
7/8 A325,A325,0.875,0.755,150000.0,120000.0,
1-0 A325,A325,1.000,0.865,150000.0,120000.0,
1-1/8 A325,A325,1.125,0.970,131250.0,105000.0,
1-1/4 A325,A325,1.250,1.110,131250.0,105000.0,
1-3/8 A325,A325,1.375,1.190,131250.0,105000.0,
1-1/2 A325,A325,1.500,1.320,131250.0,105000.0,
